,acc_ours,acc_yeaz,t1,t2,num_cells1,num_cells2,timediff
0,1.0,1.0,0,1,2,2,5
1,1.0,1.0,0,2,2,2,10
2,1.0,0.3333333333333333,0,3,2,3,15
3,1.0,0.3333333333333333,0,4,2,3,20
4,1.0,0.3333333333333333,0,5,2,3,25
5,1.0,0.3333333333333333,0,6,2,3,30
6,1.0,0.3333333333333333,0,7,2,3,35
7,1.0,0.3333333333333333,0,8,2,3,40
8,1.0,0.3333333333333333,0,9,2,3,45
9,1.0,1.0,1,2,2,2,5
10,1.0,0.3333333333333333,1,3,2,3,10
11,1.0,0.3333333333333333,1,4,2,3,15
12,1.0,0.3333333333333333,1,5,2,3,20
13,1.0,0.3333333333333333,1,6,2,3,25
14,1.0,0.3333333333333333,1,7,2,3,30
15,1.0,0.3333333333333333,1,8,2,3,35
16,1.0,1.0,1,9,2,3,40
17,1.0,0.3333333333333333,1,10,2,3,45
18,1.0,1.0,2,3,2,3,5
19,1.0,1.0,2,4,2,3,10
20,1.0,1.0,2,5,2,3,15
21,1.0,1.0,2,6,2,3,20
22,1.0,1.0,2,7,2,3,25
23,1.0,1.0,2,8,2,3,30
24,1.0,1.0,2,9,2,3,35
25,1.0,1.0,2,10,2,3,40
26,1.0,1.0,2,11,2,3,45
27,1.0,1.0,3,4,3,3,5
28,1.0,1.0,3,5,3,3,10
29,1.0,1.0,3,6,3,3,15
30,1.0,1.0,3,7,3,3,20
31,1.0,1.0,3,8,3,3,25
32,1.0,1.0,3,9,3,3,30
33,1.0,1.0,3,10,3,3,35
34,1.0,1.0,3,11,3,3,40
35,1.0,1.0,3,12,3,3,45
36,1.0,1.0,4,5,3,3,5
37,1.0,1.0,4,6,3,3,10
38,1.0,1.0,4,7,3,3,15
39,1.0,1.0,4,8,3,3,20
40,1.0,1.0,4,9,3,3,25
41,1.0,1.0,4,10,3,3,30
42,1.0,1.0,4,11,3,3,35
43,1.0,1.0,4,12,3,3,40
44,1.0,1.0,4,13,3,3,45
45,1.0,1.0,5,6,3,3,5
46,1.0,1.0,5,7,3,3,10
47,1.0,1.0,5,8,3,3,15
48,1.0,1.0,5,9,3,3,20
49,1.0,1.0,5,10,3,3,25
50,1.0,1.0,5,11,3,3,30
51,1.0,1.0,5,12,3,3,35
52,1.0,1.0,5,13,3,3,40
53,1.0,1.0,5,14,3,3,45
54,1.0,1.0,6,7,3,3,5
55,1.0,1.0,6,8,3,3,10
56,1.0,1.0,6,9,3,3,15
57,1.0,1.0,6,10,3,3,20
58,1.0,1.0,6,11,3,3,25
59,1.0,1.0,6,12,3,3,30
60,1.0,1.0,6,13,3,3,35
61,1.0,1.0,6,14,3,3,40
62,1.0,1.0,6,15,3,3,45
63,1.0,1.0,7,8,3,3,5
64,1.0,1.0,7,9,3,3,10
65,1.0,1.0,7,10,3,3,15
66,1.0,1.0,7,11,3,3,20
67,1.0,1.0,7,12,3,3,25
68,1.0,1.0,7,13,3,3,30
69,1.0,1.0,7,14,3,3,35
70,1.0,1.0,7,15,3,3,40
71,1.0,1.0,7,16,3,3,45
72,1.0,1.0,8,9,3,3,5
73,1.0,1.0,8,10,3,3,10
74,1.0,1.0,8,11,3,3,15
75,1.0,1.0,8,12,3,3,20
76,1.0,1.0,8,13,3,3,25
77,1.0,1.0,8,14,3,3,30
78,1.0,1.0,8,15,3,3,35
79,1.0,1.0,8,16,3,3,40
80,1.0,1.0,8,17,3,3,45
81,1.0,1.0,9,10,3,3,5
82,1.0,1.0,9,11,3,3,10
83,1.0,1.0,9,12,3,3,15
84,1.0,1.0,9,13,3,3,20
85,1.0,1.0,9,14,3,3,25
86,1.0,1.0,9,15,3,3,30
87,1.0,1.0,9,16,3,3,35
88,1.0,1.0,9,17,3,3,40
89,1.0,1.0,9,18,3,3,45
90,1.0,1.0,10,11,3,3,5
91,1.0,1.0,10,12,3,3,10
92,1.0,1.0,10,13,3,3,15
93,1.0,1.0,10,14,3,3,20
94,1.0,1.0,10,15,3,3,25
95,1.0,1.0,10,16,3,3,30
96,1.0,1.0,10,17,3,3,35
97,1.0,1.0,10,18,3,3,40
98,1.0,1.0,10,19,3,3,45
99,1.0,1.0,11,12,3,3,5
100,1.0,1.0,11,13,3,3,10
101,1.0,1.0,11,14,3,3,15
102,1.0,1.0,11,15,3,3,20
103,1.0,1.0,11,16,3,3,25
104,1.0,1.0,11,17,3,3,30
105,1.0,1.0,11,18,3,3,35
106,1.0,1.0,11,19,3,3,40
107,1.0,1.0,11,20,3,3,45
108,1.0,1.0,12,13,3,3,5
109,1.0,1.0,12,14,3,3,10
110,1.0,1.0,12,15,3,3,15
111,1.0,1.0,12,16,3,3,20
112,1.0,1.0,12,17,3,3,25
113,1.0,1.0,12,18,3,3,30
114,1.0,1.0,12,19,3,3,35
115,1.0,1.0,12,20,3,3,40
116,1.0,1.0,12,21,3,3,45
117,1.0,1.0,13,14,3,3,5
118,1.0,1.0,13,15,3,3,10
119,1.0,1.0,13,16,3,3,15
120,1.0,1.0,13,17,3,3,20
121,1.0,1.0,13,18,3,3,25
122,1.0,1.0,13,19,3,3,30
123,1.0,1.0,13,20,3,3,35
124,1.0,1.0,13,21,3,3,40
125,1.0,1.0,13,22,3,3,45
126,1.0,1.0,14,15,3,3,5
127,1.0,1.0,14,16,3,3,10
128,1.0,1.0,14,17,3,3,15
129,1.0,1.0,14,18,3,3,20
130,1.0,1.0,14,19,3,3,25
131,1.0,1.0,14,20,3,3,30
132,1.0,1.0,14,21,3,3,35
133,1.0,1.0,14,22,3,3,40
134,1.0,1.0,14,23,3,4,45
135,1.0,1.0,15,16,3,3,5
136,1.0,1.0,15,17,3,3,10
137,1.0,1.0,15,18,3,3,15
138,1.0,1.0,15,19,3,3,20
139,1.0,1.0,15,20,3,3,25
140,1.0,1.0,15,21,3,3,30
141,1.0,1.0,15,22,3,3,35
142,1.0,1.0,15,23,3,4,40
143,1.0,1.0,15,24,3,4,45
144,1.0,1.0,16,17,3,3,5
145,1.0,1.0,16,18,3,3,10
146,1.0,1.0,16,19,3,3,15
147,1.0,1.0,16,20,3,3,20
148,1.0,1.0,16,21,3,3,25
149,1.0,1.0,16,22,3,3,30
150,1.0,1.0,16,23,3,4,35
151,1.0,1.0,16,24,3,4,40
152,1.0,1.0,16,25,3,4,45
153,1.0,1.0,17,18,3,3,5
154,1.0,1.0,17,19,3,3,10
155,1.0,1.0,17,20,3,3,15
156,1.0,1.0,17,21,3,3,20
157,1.0,1.0,17,22,3,3,25
158,1.0,1.0,17,23,3,4,30
159,1.0,1.0,17,24,3,4,35
160,1.0,1.0,17,25,3,4,40
161,1.0,1.0,17,26,3,4,45
162,1.0,1.0,18,19,3,3,5
163,1.0,1.0,18,20,3,3,10
164,1.0,1.0,18,21,3,3,15
165,1.0,1.0,18,22,3,3,20
166,1.0,1.0,18,23,3,4,25
167,1.0,1.0,18,24,3,4,30
168,1.0,1.0,18,25,3,4,35
169,1.0,1.0,18,26,3,4,40
170,1.0,1.0,18,27,3,4,45
171,1.0,1.0,19,20,3,3,5
172,1.0,1.0,19,21,3,3,10
173,1.0,1.0,19,22,3,3,15
174,1.0,1.0,19,23,3,4,20
175,1.0,1.0,19,24,3,4,25
176,1.0,1.0,19,25,3,4,30
177,1.0,1.0,19,26,3,4,35
178,1.0,1.0,19,27,3,4,40
179,1.0,1.0,19,28,3,4,45
180,1.0,1.0,20,21,3,3,5
181,1.0,1.0,20,22,3,3,10
182,1.0,1.0,20,23,3,4,15
183,1.0,1.0,20,24,3,4,20
184,1.0,1.0,20,25,3,4,25
185,1.0,1.0,20,26,3,4,30
186,1.0,1.0,20,27,3,4,35
187,1.0,1.0,20,28,3,4,40
188,1.0,1.0,20,29,3,4,45
189,1.0,1.0,21,22,3,3,5
190,1.0,1.0,21,23,3,4,10
191,1.0,1.0,21,24,3,4,15
192,1.0,1.0,21,25,3,4,20
193,1.0,1.0,21,26,3,4,25
194,1.0,1.0,21,27,3,4,30
195,1.0,1.0,21,28,3,4,35
196,1.0,1.0,21,29,3,4,40
197,1.0,1.0,21,30,3,5,45
198,1.0,1.0,22,23,3,4,5
199,1.0,1.0,22,24,3,4,10
200,1.0,1.0,22,25,3,4,15
201,1.0,1.0,22,26,3,4,20
202,1.0,1.0,22,27,3,4,25
203,1.0,1.0,22,28,3,4,30
204,1.0,1.0,22,29,3,4,35
205,1.0,1.0,22,30,3,5,40
206,1.0,1.0,22,31,3,5,45
207,1.0,1.0,23,24,4,4,5
208,1.0,1.0,23,25,4,4,10
209,1.0,1.0,23,26,4,4,15
210,1.0,1.0,23,27,4,4,20
211,1.0,1.0,23,28,4,4,25
212,1.0,1.0,23,29,4,4,30
213,1.0,1.0,23,30,4,5,35
214,1.0,1.0,23,31,4,5,40
215,1.0,1.0,23,32,4,5,45
216,1.0,1.0,24,25,4,4,5
217,1.0,1.0,24,26,4,4,10
218,1.0,1.0,24,27,4,4,15
219,1.0,1.0,24,28,4,4,20
220,1.0,1.0,24,29,4,4,25
221,1.0,1.0,24,30,4,5,30
222,1.0,1.0,24,31,4,5,35
223,1.0,1.0,24,32,4,5,40
224,1.0,1.0,24,33,4,5,45
225,1.0,1.0,25,26,4,4,5
226,1.0,1.0,25,27,4,4,10
227,1.0,1.0,25,28,4,4,15
228,1.0,1.0,25,29,4,4,20
229,1.0,1.0,25,30,4,5,25
230,1.0,1.0,25,31,4,5,30
231,1.0,1.0,25,32,4,5,35
232,1.0,1.0,25,33,4,5,40
233,1.0,1.0,25,34,4,6,45
234,1.0,1.0,26,27,4,4,5
235,1.0,1.0,26,28,4,4,10
236,1.0,1.0,26,29,4,4,15
237,1.0,1.0,26,30,4,5,20
238,1.0,1.0,26,31,4,5,25
239,1.0,1.0,26,32,4,5,30
240,1.0,1.0,26,33,4,5,35
241,1.0,1.0,26,34,4,6,40
242,1.0,1.0,26,35,4,6,45
243,1.0,1.0,27,28,4,4,5
244,1.0,1.0,27,29,4,4,10
245,1.0,1.0,27,30,4,5,15
246,1.0,1.0,27,31,4,5,20
247,1.0,1.0,27,32,4,5,25
248,1.0,1.0,27,33,4,5,30
249,1.0,1.0,27,34,4,6,35
250,1.0,1.0,27,35,4,6,40
251,1.0,1.0,27,36,4,6,45
252,1.0,1.0,28,29,4,4,5
253,1.0,1.0,28,30,4,5,10
254,1.0,1.0,28,31,4,5,15
255,1.0,1.0,28,32,4,5,20
256,1.0,1.0,28,33,4,5,25
257,1.0,1.0,28,34,4,6,30
258,1.0,1.0,28,35,4,6,35
259,1.0,1.0,28,36,4,6,40
260,1.0,1.0,28,37,4,6,45
261,1.0,1.0,29,30,4,5,5
262,1.0,1.0,29,31,4,5,10
263,1.0,1.0,29,32,4,5,15
264,1.0,1.0,29,33,4,5,20
265,1.0,1.0,29,34,4,6,25
266,1.0,1.0,29,35,4,6,30
267,1.0,1.0,29,36,4,6,35
268,1.0,1.0,29,37,4,6,40
269,1.0,1.0,29,38,4,6,45
270,1.0,1.0,30,31,5,5,5
271,1.0,1.0,30,32,5,5,10
272,1.0,1.0,30,33,5,5,15
273,1.0,1.0,30,34,5,6,20
274,1.0,1.0,30,35,5,6,25
275,1.0,1.0,30,36,5,6,30
276,1.0,1.0,30,37,5,6,35
277,1.0,1.0,30,38,5,6,40
278,1.0,1.0,30,39,5,7,45
279,1.0,1.0,31,32,5,5,5
280,1.0,1.0,31,33,5,5,10
281,1.0,1.0,31,34,5,6,15
282,1.0,1.0,31,35,5,6,20
283,1.0,1.0,31,36,5,6,25
284,1.0,1.0,31,37,5,6,30
285,1.0,1.0,31,38,5,6,35
286,1.0,1.0,31,39,5,7,40
287,1.0,1.0,31,40,5,7,45
288,1.0,1.0,32,33,5,5,5
289,1.0,1.0,32,34,5,6,10
290,1.0,1.0,32,35,5,6,15
291,1.0,1.0,32,36,5,6,20
292,1.0,1.0,32,37,5,6,25
293,1.0,1.0,32,38,5,6,30
294,1.0,1.0,32,39,5,7,35
295,1.0,1.0,32,40,5,7,40
296,1.0,1.0,32,41,5,7,45
297,1.0,1.0,33,34,5,6,5
298,1.0,1.0,33,35,5,6,10
299,1.0,1.0,33,36,5,6,15
300,1.0,1.0,33,37,5,6,20
301,1.0,1.0,33,38,5,6,25
302,1.0,1.0,33,39,5,7,30
303,1.0,1.0,33,40,5,7,35
304,1.0,1.0,33,41,5,7,40
305,1.0,1.0,33,42,5,7,45
306,1.0,1.0,34,35,6,6,5
307,1.0,1.0,34,36,6,6,10
308,1.0,1.0,34,37,6,6,15
309,1.0,1.0,34,38,6,6,20
310,1.0,1.0,34,39,6,7,25
311,1.0,1.0,34,40,6,7,30
312,1.0,1.0,34,41,6,7,35
313,1.0,1.0,34,42,6,7,40
314,1.0,1.0,34,43,6,7,45
315,1.0,1.0,35,36,6,6,5
316,1.0,1.0,35,37,6,6,10
317,1.0,1.0,35,38,6,6,15
318,1.0,1.0,35,39,6,7,20
319,1.0,1.0,35,40,6,7,25
320,1.0,1.0,35,41,6,7,30
321,1.0,1.0,35,42,6,7,35
322,1.0,1.0,35,43,6,7,40
323,1.0,1.0,35,44,6,7,45
324,1.0,1.0,36,37,6,6,5
325,1.0,1.0,36,38,6,6,10
326,1.0,1.0,36,39,6,7,15
327,1.0,1.0,36,40,6,7,20
328,1.0,1.0,36,41,6,7,25
329,1.0,1.0,36,42,6,7,30
330,1.0,1.0,36,43,6,7,35
